fold,k_start,k_end,n,n_trades,sharpe,psr,total_log_return,max_drawdown_log,hit_rate,strategy
0,0,6296,6297,2078,-0.05879920578396416,0.4721847455775394,-0.011471364401113933,0.2084368379462792,0.5548604427333975,baseline_offline_tau
1,6297,12593,6297,2063,-0.4576430865750032,0.29591087832825924,-0.09647172939048829,0.09647172939048829,0.5569558894813379,baseline_offline_tau
2,12594,18890,6297,946,5.23556721024483,0.9999514782632634,0.42916892813161467,-0.0,0.6099365750528541,baseline_offline_tau
3,18891,25187,6297,664,4.561392822211256,0.9980620561453845,0.2646482741539809,-0.0,0.6219879518072289,baseline_offline_tau
4,25188,31485,6298,1643,-0.9311839584464543,0.15994770360092408,-0.14674204179455555,0.14674204179455555,0.5392574558734023,baseline_offline_tau
0,0,6296,6297,1979,-2.179444331036637,0.004870803628178321,-0.40387046745321975,0.4511664441162438,0.5098534613441131,baseline_online_tau
1,6297,12593,6297,2249,-2.2721602971238046,0.0018919580544154403,-0.5026894788658524,0.5026894788658524,0.5122276567363273,baseline_online_tau
2,12594,18890,6297,961,-1.1679166028866097,0.16737470924795705,-0.0966808916722283,0.0966808916722283,0.49427679500520294,baseline_online_tau
3,18891,25187,6297,523,-3.4308882652623818,0.01642447908295745,-0.1688265733075666,0.1688265733075666,0.5009560229445507,baseline_online_tau
4,25188,31485,6298,1708,-2.2687442173633174,0.006081773000967002,-0.3554938591137419,0.3554938591137419,0.5017564402810304,baseline_online_tau
0,0,6296,6297,547,-6.680772323182614,2.1659997623519073e-05,-0.48238998091128155,0.549933747038025,0.5374771480804388,conformal_gate_tau
1,6297,12593,6297,805,-3.8461531803223483,0.0027379054899724577,-0.393503615778704,0.393503615778704,0.5590062111801242,conformal_gate_tau
2,12594,18890,6297,74,-0.24920213847672262,0.4801549134125567,-0.002237545904543232,0.002237545904543232,0.6081081081081081,conformal_gate_tau
3,18891,25187,6297,16,-13.525514544423704,0.06348034623240077,-0.038024598252078455,0.038024598252078455,0.5,conformal_gate_tau
4,25188,31485,6298,433,-6.322292106035675,2.804986235646245e-06,-0.4583343060799575,0.4583343060799575,0.5080831408775982,conformal_gate_tau
0,0,6296,6297,549,-5.751351648327006,0.00018281500457295277,-0.37362227816152105,0.4369463717246042,0.5355191256830601,mondrian_aci_size
1,6297,12593,6297,814,-4.248203449146413,0.0008451005981374511,-0.4174994557504073,0.4174994557504073,0.5454545454545454,mondrian_aci_size
2,12594,18890,6297,74,-2.5916101375065943,0.2961310997536523,-0.020985659482132622,0.020985659482132622,0.6081081081081081,mondrian_aci_size
3,18891,25187,6297,16,-9.85271483578579,0.13162906286304288,-0.025483303957411864,0.025483303957411864,0.5,mondrian_aci_size
4,25188,31485,6298,453,-6.138945702860627,1.8870640263358901e-06,-0.4226364938688909,0.4226364938688909,0.4768211920529801,mondrian_aci_size
0,0,6296,6297,1835,-2.7259289977775887,0.0005437197120345164,-0.3818034157967495,0.39137971165859176,0.47356948228882834,null_random_at_rate
1,6297,12593,6297,1780,-3.352534261622732,2.8861167982894735e-05,-0.508650959728655,0.508650959728655,0.48258426966292134,null_random_at_rate
2,12594,18890,6297,1779,-2.9573495256926,0.00027620498833577634,-0.2828659542934329,0.2828659542934329,0.4451939291736931,null_random_at_rate
3,18891,25187,6297,1734,-3.3383396349657,4.800787778456659e-05,-0.28497839695302435,0.28497839695302435,0.4463667820069204,null_random_at_rate
4,25188,31485,6298,1738,-3.1009815579792646,0.00017066125306628308,-0.37729092344187226,0.37729092344187226,0.4735327963176064,null_random_at_rate
