sigma_decile,mean_pnl,hit_rate,n
0,-0.00047405424058916286,0.016216216216216217,740
1,-0.0003553735298910244,0.02029769959404601,739
2,-0.0002984639979815075,0.11637347767253045,739
3,-0.00018827234544004074,0.27702702702702703,740
4,-0.0001633753008032817,0.4316644113667118,739
5,-9.517271337633874e-05,0.469553450608931,739
6,-0.00011794273406527486,0.5108108108108108,740
7,-8.194764604313235e-05,0.5182679296346414,739
8,-0.00012626679253871569,0.5223274695534507,739
9,-2.3628278813083997e-05,0.5594594594594594,740
