predictor,bin_lo,bin_hi,n_total,n_pos,p_obs,ci_lo,ci_hi,mean_predicted
p_offline,0.0,0.1,11015,174,0.015796640944167044,0.013631217550688995,0.01829967646712459,0.055702107427899834
p_offline,0.1,0.2,8565,450,0.05253940455341506,0.04801174316099946,0.057468264044675615,0.14535869498121595
p_offline,0.2,0.30000000000000004,4619,459,0.09937215847586058,0.09107484695399937,0.10833529224983557,0.2443526266861184
p_offline,0.30000000000000004,0.4,2672,429,0.16055389221556887,0.14712274706416803,0.17495966031452917,0.3465644812043849
p_offline,0.4,0.5,1766,450,0.2548131370328426,0.2350370172107505,0.2756536179961762,0.44745076147956353
p_offline,0.5,0.6000000000000001,1399,415,0.29664045746962114,0.2732880999845636,0.3211065506566195,0.5487021546134419
p_offline,0.6000000000000001,0.7000000000000001,970,386,0.3979381443298969,0.3675960929477721,0.4290853912850158,0.6436733016701027
p_offline,0.7000000000000001,0.8,425,251,0.5905882352941176,0.5432301347812326,0.636323400485037,0.7415307319786965
p_offline,0.8,0.9,55,42,0.7636363636363637,0.6365163381083228,0.8563334413026682,0.8202381626605019
p_offline,0.9,1.0,0,0,,,,
p_online,0.0,0.1,19488,678,0.03479064039408867,0.03230814192109066,0.03745650610837099,0.046842534335753985
p_online,0.1,0.2,7260,858,0.11818181818181818,0.11095713595067591,0.12581034700866656,0.13973498127423936
p_online,0.2,0.30000000000000004,2816,725,0.25745738636363635,0.24164644121049414,0.2739291611954352,0.24373451361759405
p_online,0.30000000000000004,0.4,1154,405,0.3509532062391681,0.3239525403908422,0.3789428798937473,0.3441870003274707
p_online,0.4,0.5,420,195,0.4642857142857143,0.41712885844162206,0.5120899582275338,0.44107970912654193
p_online,0.5,0.6000000000000001,207,100,0.4830917874396135,0.4159476432674967,0.5508520552398399,0.543182054417726
p_online,0.6000000000000001,0.7000000000000001,83,53,0.6385542168674698,0.5311967999353614,0.7336536564289108,0.645247000635273
p_online,0.7000000000000001,0.8,50,37,0.74,0.6044684273515117,0.8412847250644762,0.7400102569024384
p_online,0.8,0.9,8,5,0.625,0.30574239460262737,0.8631557141764026,0.8214059915409361
p_online,0.9,1.0,0,0,,,,
