feature,shap_win_mean,shap_loss_mean,shap_diff_mean,u_stat,p_value,bh_significant,abs_diff
return_rolling_mean_8,0.04597345927464382,0.005153166262921611,0.040820293011722214,8175286.0,1.0464591118927698e-57,True,0.040820293011722214
return_rolling_mean_12,0.03745830036480833,0.00539698894936096,0.032061311415447366,7727697.0,1.347038288292729e-28,True,0.032061311415447366
return_rolling_mean_2,0.011919596800979714,-0.0007554917329605315,0.012675088533940245,10212228.0,0.0,True,0.012675088533940245
body,0.009602363607881316,-0.002557239280478317,0.012159602888359633,11068645.0,0.0,True,0.012159602888359633
return_rolling_min_2,0.005938088161996139,-0.005924441593138932,0.011862529755135071,10181750.0,0.0,True,0.011862529755135071
oc_return,0.008566794413848451,-0.0017071920392519291,0.01027398645310038,10681001.0,0.0,True,0.01027398645310038
return_rolling_mean_4,0.01580831077522458,0.0063925823963258185,0.009415728378898763,8404719.0,1.1024269007231097e-76,True,0.009415728378898763
return_rolling_mean_24,0.015544227413134088,0.006837126221906465,0.008707101191227622,6785298.0,0.46105756173401424,False,0.008707101191227622
return_rolling_min_1,0.006152865216478652,-0.0022049674894530163,0.008357832705931668,12275947.5,0.0,True,0.008357832705931668
return_rolling_mean_1,0.005481555114891138,-0.0017992988635439455,0.007280853978435083,11552525.5,0.0,True,0.007280853978435083
minute_sin,0.01278479962518529,0.01893118690798139,-0.0061463872827961005,5844092.0,7.520413529675043e-22,True,0.0061463872827961005
return,0.0049363104997163796,-0.0007473834066551372,0.005683693906371517,9995148.5,5.454232453393616e-284,True,0.005683693906371517
close_position,0.0037209629439503306,-0.0018945255293230526,0.005615488473273383,10904406.0,0.0,True,0.005615488473273383
range_pct_rolling_mean_4,0.012606914619699443,0.01808216865484233,-0.005475254035142886,5553192.0,1.5742535990058779e-37,True,0.005475254035142886
return_rolling_max_1,0.00540068363729915,-6.840972338033152e-05,0.0054690933606794815,10003722.0,1.8201799192471584e-285,True,0.0054690933606794815
return_x_log_volume,0.004281493515775841,-0.0002684289772991195,0.004549922493074961,10075469.5,5.649122551879159e-298,True,0.004549922493074961
return_rolling_min_4,-1.9440034079604067e-06,-0.004079534332437004,0.0040775903290290435,7095610.0,3.3643239610737064e-05,True,0.0040775903290290435
range_hl_rolling_mean_2,0.011126436669427666,0.015183182827452015,-0.004056746158024349,6013079.5,9.247014044884224e-15,True,0.004056746158024349
log_high,-0.0013898498707474172,0.0026042305887663485,-0.003994080459513766,2282477.0,0.0,True,0.003994080459513766
range_hl_rolling_mean_4,0.007744056959745437,0.010607908206749594,-0.0028638512470041573,6011586.0,8.124861056078845e-15,True,0.0028638512470041573
garman_klass_var_rolling_min_8,0.006269998467411728,0.008861908427311773,-0.0025919099599000447,5970789.5,2.1402567255864162e-16,True,0.0025919099599000447
