iter	Passed	Remaining
0	358	2153345
1	571	1715038
2	912	1823198
3	1111	1665772
4	1446	1734676
5	1711	1709719
6	2053	1758090
7	2352	1761972
8	2560	1704637
9	2912	1744508
10	3232	1759836
11	3455	1724299
12	3813	1756046
13	4120	1761649
14	4442	1772726
15	4659	1742676
16	4999	1759590
17	5308	1764291
18	5524	1739019
19	5863	1753311
20	6064	1726599
21	6385	1735068
22	6681	1736389
23	6980	1738171
24	7185	1717221
25	7511	1725859
26	7711	1705977
27	8043	1715660
28	8248	1698265
29	8578	1707116
30	8884	1710712
31	9088	1694998
32	9429	1705045
33	9640	1691613
34	9978	1700617
35	10192	1688526
36	10542	1699011
37	10763	1688751
38	11100	1696666
39	11297	1683273
40	11623	1689410
41	11821	1676922
42	12142	1682108
43	12435	1683293
44	12732	1684911
45	13025	1685911
46	13314	1686359
47	13515	1675956
48	13865	1683936
49	14090	1676817
50	14437	1684069
51	14755	1687801
52	14974	1680218
53	15301	1684817
54	15502	1675715
55	15834	1680711
56	16033	1671715
57	16362	1676289
58	16566	1668181
59	16900	1673114
60	17205	1675157
61	17510	1677098
62	17718	1669788
63	18050	1674212
64	18337	1674317
65	18538	1666815
66	18860	1670163
67	19159	1671406
68	19371	1665100
69	19716	1670242
70	20022	1671992
71	20237	1666249
72	20585	1671398
73	20800	1665715
74	21125	1668920
75	21328	1662532
76	21670	1666912
77	21874	1660786
78	22211	1664748
79	22517	1666311
80	22819	1667496
81	23125	1669008
82	23331	1663311
83	23654	1665919
84	23951	1666735
85	24165	1661815
86	24499	1665104
87	24715	1660405
88	25038	1662923
89	25320	1662720
90	25611	1663076
91	25824	1658392
92	26166	1661975
93	26462	1662649
94	26657	1656957
95	26978	1659147
96	27269	1659513
97	27564	1660042
98	27769	1655228
99	28119	1659040
100	28429	1660425
101	28636	1655888
102	28979	1659118
103	29187	1654690
104	29505	1656496
105	29796	1656787
106	30082	1656761
107	30281	1652050
108	30608	1654281
109	30903	1654733
110	31115	1650796
111	31448	1653306
112	31658	1649339
113	31995	1651976
114	32315	1653698
115	32618	1654567
116	32928	1655734
117	33130	1651448
118	33471	1654187
119	33776	1655060
120	33983	1651166
121	34326	1653874
122	34532	1649970
123	34865	1652166
124	35161	1652606
125	35361	1648505
126	35678	1649906
127	35881	1646061
128	36228	1648839
129	36540	1649944
130	36848	1650871
131	37056	1647334
132	37399	1649808
133	37610	1646447
134	37950	1648719
135	38260	1649718
136	38463	1646051
137	38801	1648225
138	39000	1644459
139	39334	1646439
140	39643	1647308
141	39851	1643998
142	40176	1645558
143	40374	1641915
144	40695	1643263
145	40900	1639949
146	41231	1641687
147	41527	1642025
148	41838	1642914
149	42047	1639833
150	42379	1641590
151	42589	1638565
152	42924	1640372
153	43239	1641400
154	43444	1638289
155	43766	1639550
156	43962	1636141
157	44286	1637482
158	44491	1634417
159	44822	1636014
160	45030	1633123
161	45352	1634374
162	45556	1631375
163	45878	1632616
164	46169	1632706
165	46389	1630336
166	46735	1632391
167	46937	1629419
168	47281	1631338
169	47488	1628576
170	47833	1630528
171	48038	1627713
172	48367	1629116
173	48575	1626442
174	48916	1628231
175	49223	1628846
176	49430	1626185
177	49768	1627813
178	50068	1628211
179	50374	1628768
180	50595	1626603
181	50942	1628484
182	51146	1625790
183	51495	1627698
184	51711	1625419
185	52052	1627069
186	52255	1624390
187	52606	1626332
188	52826	1624206
189	53172	1625966
190	53467	1626142
